STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,69.0498372761965,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,"Venezuela, RB",Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,30.76423392515982,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,Vietnam,Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VIR,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,94.8750167367391,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,Virgin Islands (U.S.),Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,58.1756174368296,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,28.418477220554777,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.",Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,39.55633945345336,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,50.351227457027505,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2018,42.52713099606362,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2018,86.89748644828799,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_PA_NUS_GDP_PLI,_T,_T,_T,NUMBER,_Z,_Z,_Z,2011,67.201765050687,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Price level index (GDP),Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
